Gene,CB_Exc,HB_Exc,Tel_Exc,MB_Inh,Purkinje
LRRFIP1,0.19346656,0.8584198,0.58559346,1.0,0.47027385
PHOX2A,0.11662033,1.0,0.1007196,0.036137518,0.10993806
GATA5,0.0,0.22740075,0.27484456,0.0,1.0
ZNF654,0.41067052,0.4998369,0.5878583,0.73942417,1.0
SCRT1,0.2462944,0.6830971,0.43984747,0.75198954,1.0
UNCX,0.43569145,0.7551901,0.052120786,1.0,0.8501815
KLF12,0.9367472,1.0,0.6306441,0.878078,0.8724195
NCOA1,0.8250887,0.76679206,0.69885045,0.7088001,1.0
SKOR1,0.026519552,0.06948357,0.0400815,0.042458117,1.0
KIAA1549,0.27553728,0.70507693,0.7283289,1.0,0.83710074
ZNF208,0.042837955,0.21937665,0.5981209,1.0,0.19294278
CTCF,0.46788195,0.58150727,1.0,0.598741,0.52364266
TBP,0.6582953,0.81808305,1.0,0.8046645,0.95988876
ZNF565,0.43075252,0.44634172,0.5401395,1.0,0.5680813
NKX1-2,0.0,0.048041787,0.0,1.0,0.04225297
ZNF84,0.28615704,0.34804648,0.57729965,1.0,0.6921952
TRERF1,0.18353136,0.085791446,0.10462384,1.0,0.12513708
ZFP90,0.26951104,0.43122876,0.5097013,1.0,0.42990518
TCF20,0.23041303,0.6283434,0.51344734,1.0,0.76583076
SMARCAD1,0.48835194,0.52748597,0.7106966,1.0,0.5771562
ZNF91,0.29244104,0.4928918,0.8163756,1.0,0.6036047
MBD5,0.65256757,0.7681291,0.76313215,1.0,0.69478774
PBX3,0.513786,0.8110505,0.12626068,1.0,0.7008716
MTF2,0.3248511,0.43017742,0.7232215,1.0,0.6758542
RERE,0.52450395,0.5691381,0.6086632,1.0,0.46742257
ZNF609,0.38022226,0.48929656,0.9823988,1.0,0.7098866
TET1,0.5877767,0.96032006,0.47559223,1.0,0.35813978
ZNF254,0.34333846,0.48272213,0.83960414,1.0,0.43929708
GATA2,0.0014810123,0.032806877,0.015988527,1.0,0.0039557624
POU2F1,0.60919553,0.6315539,0.94709074,1.0,0.67103696
CRX,0.0,0.020589339,0.09954,1.0,0.15392154
ZNF117,0.2704612,0.52186155,0.53320944,1.0,0.36442494
ZFPM2,0.117139146,0.29243562,0.11463856,1.0,0.08140011
ONECUT3,0.13018084,1.0,0.28107798,0.44373512,0.16362876
BSX,0.0,0.0,0.0,1.0,0.5070357
SIX6,0.0,0.14412537,0.0,1.0,0.25351784
CBFB,0.7470671,0.7330811,1.0,0.36478174,0.39628762
ISL2,0.05434734,1.0,0.09387458,0.05894275,0.029886078
DRGX,0.36562046,1.0,0.06533163,0.56257325,0.23770392
ZNF71,0.48647332,0.926984,0.9628314,0.65322864,1.0
NKX2-4,0.0,0.0,0.836136,1.0,0.101407126
TCF23,1.0,0.0,0.0,0.61974645,0.9427007
MEIS3,0.35110015,1.0,0.85831654,0.848869,0.5181497
ZNF836,0.5789356,0.71706223,1.0,0.59798884,0.9823734
PITX3,0.0,0.38433433,0.0,1.0,0.45069835
TOX2,0.09307816,0.24193867,0.12354829,1.0,0.053196542
FOXA2,0.08067815,0.72062683,0.17419499,1.0,0.050703563
SOX3,0.05852057,0.13441183,1.0,0.4870263,0.13791846
ZNF711,0.3166799,0.62936604,1.0,0.6899026,0.5894756
RC3H1,0.70824623,0.7240296,0.7897504,1.0,0.6180888
UBP1,0.62960887,0.84764177,1.0,0.6127962,0.80985785
SIM2,0.22003132,0.94336605,0.8551391,1.0,0.92188305
ZNF682,0.38732848,0.51406723,1.0,0.49611822,0.4238667
L3MBTL3,0.52406913,0.94296926,1.0,0.8623937,0.68918926
PRDM2,0.87615013,1.0,0.78817755,0.9009131,0.8569968
BARHL2,0.6084539,1.0,0.23492655,0.110907994,0.051735565
PHTF1,1.0,0.9172002,0.88343745,0.77492785,0.4753217
ZFP64,0.62434983,0.76138544,1.0,0.7436033,0.93442875
POU3F4,0.2338878,0.5178185,0.61847734,1.0,0.4907263
PITX1,0.0,0.6205346,1.0,0.3587933,0.81864446
ZFHX4,0.0066213133,0.055147145,0.3104898,1.0,0.31320524
PBX1,0.147582,0.32323572,0.5770711,1.0,0.25388047
POU4F3,0.20169538,0.79268956,0.4354875,1.0,0.15844865
ZNF133,0.55036956,1.0,0.9709708,0.80462164,0.78490233
FEV,0.0,1.0,0.34532437,0.5782003,0.1256435
ZNF350,0.43164805,0.6803879,0.84792477,0.71861154,1.0
ZNF891,0.51793385,0.6619091,0.943377,1.0,0.7939386
MYOD1,0.0,0.0,0.0,1.0,0.0
ZNF688,0.61280125,0.89152956,0.84908164,1.0,0.73007596
HMX3,0.0,1.0,0.043165546,0.6504753,0.502574
ZNF195,0.57686055,0.90151745,1.0,0.68329334,0.4147016
HMX2,0.06664019,1.0,0.17266218,0.41300023,0.1256435
ZNF683,0.40339077,0.0,0.0,1.0,0.5070357
SP9,0.0,0.14337862,0.8231391,1.0,0.16813618
NCOA2,0.6305676,0.58965516,1.0,0.79577005,0.9240268
TET2,0.09735879,0.3303545,0.3344892,1.0,0.40868986
JAZF1,0.07561357,0.38423023,0.8473472,1.0,0.25154355
ARID1B,0.99190307,1.0,0.9313667,0.9164117,0.9671089
GABPB1,0.46902242,0.6105183,1.0,0.4980636,0.36328268
ZNF713,0.49612346,0.7550842,1.0,0.75892335,0.72038364
ZNF486,0.34411502,0.47013712,1.0,0.4171391,0.2808724
NRF1,0.4835467,0.573602,1.0,0.7077102,0.46013206
CNOT4,0.6305057,0.6290891,1.0,0.8529426,0.59977984
ARID1A,0.3882596,0.5201389,1.0,0.61831665,0.44636583
ZNF491,0.39231402,0.49837443,1.0,0.7429132,0.5872838
SP4,0.3683267,0.5978807,1.0,0.65992695,0.7400991
ELF2,0.5169503,0.76226336,1.0,0.88783914,0.72671556
ZNF610,0.49050176,0.64545184,0.92826843,1.0,0.6013679
FOXJ3,0.7978783,0.69467145,0.8942474,1.0,0.75424385
ZNF680,0.4582545,0.47767058,1.0,0.5032068,0.33605582
SP8,0.016025899,0.09447586,1.0,0.1887079,0.026438344
SP3,0.46188444,0.62758,1.0,0.75299597,0.5463191
ZNF300,0.48518085,0.62472177,1.0,0.9478244,0.9501137
DNMT3L,0.55977756,1.0,0.24172705,0.52038026,0.43975228
ZNF337,0.482578,0.6733041,1.0,0.40235758,0.560406
ZSCAN2,0.45631924,0.60778016,1.0,0.7406725,0.8184007
HNF1B,1.0,0.0,0.0,0.61974645,0.31423357
ZNF620,0.56792927,0.7109801,1.0,0.75032824,0.61147594
HDX,0.47614715,0.9172352,1.0,0.61294764,0.62401456
YEATS2,0.42674264,0.4863544,1.0,0.680435,0.69594467
MEIS2,0.04860607,0.31203818,0.80469024,1.0,0.050380293
ZFHX2,0.25662434,0.7120237,1.0,0.85489404,0.80867386
EBF1,0.60970443,1.0,0.03852332,0.15380199,0.8671262
ZNF345,0.31852856,0.36311638,0.6119774,1.0,0.6539933
POU6F1,0.28326726,0.574595,1.0,0.79606,0.49674484
BACH2,0.62116265,1.0,0.7160122,0.80550617,0.86818314
NKX6-3,0.0,0.068909325,0.16657248,0.4183556,1.0
UNKL,0.49176574,0.82599384,0.98367995,0.75667053,1.0
ZNF860,0.0,0.12107992,1.0,0.21002534,0.45258394
THAP1,0.5279183,0.78933907,1.0,0.5361279,0.7360481
ZNF250,0.61313075,0.7985173,0.934369,0.6288149,1.0
ZNF202,0.70993686,1.0,0.8248715,0.66788465,0.78962815
ZNF548,0.33082035,0.47278827,1.0,0.4100495,0.5371001
CIC,0.66393805,0.8651368,1.0,0.49547645,0.7349031
KLF8,0.6616407,0.94798875,1.0,0.38076022,0.80830204
NR1I3,0.26892716,0.44839,0.77419996,1.0,0.7042162
ZNF232,0.6456193,0.5869629,1.0,0.7420071,0.4781379
PRDM10,0.654249,0.76329243,1.0,0.61283463,0.90906304
ZNF213,0.7289646,0.68611956,1.0,0.8390075,0.75985295
HSF2,0.6436291,0.7676543,1.0,0.71612334,0.63434935
ZNF614,0.7268767,0.6851711,0.9572377,1.0,0.6528287
ZNF578,0.41130036,0.6086742,0.94165134,1.0,0.62174964
IRX6,1.0,0.56144744,0.6785852,0.57547885,0.22445254
ZNF833P,0.20169538,0.0,0.174195,1.0,0.06337946
ZNF500,0.515779,0.72207665,1.0,0.5088341,0.7144534
ZC3H8,0.42479998,0.576062,1.0,0.64897925,0.9776797
ZNF248,0.330031,0.42640492,0.9213419,1.0,0.4999597
HINFP,0.6985638,0.9107707,0.95613456,0.74687177,1.0
HNF1A,0.0,0.41368973,1.0,0.17939664,0.545763
ZNF554,0.6432618,0.9422932,1.0,0.9069497,0.6468302
ZNF765,0.5619817,0.8625546,0.8299904,0.9850935,1.0
ZNF763,0.3723607,0.79823285,0.61255383,1.0,0.64075935
ZNF501,0.47785157,0.7617144,1.0,0.5865986,0.53998774
ZNF605,0.5434734,1.0,0.89180857,0.6399499,0.73434365
ZNF709,0.0,0.5515863,1.0,0.0,0.36384198
ZNF45,0.6594128,0.59613466,0.979375,1.0,0.69069874
ZC3H13,0.37940577,0.7107552,0.7694423,0.9440057,1.0
ZNF302,0.39206812,0.5284396,0.5563731,1.0,0.4576491
ZNF623,0.5513673,0.66978335,1.0,0.20502475,0.3465162
ZNF23,0.5997617,1.0,0.7824904,0.63004506,0.8661382
ATF6B,0.6553988,0.85860133,1.0,0.5686535,0.7620087
HSF5,0.461018,0.8894594,0.67687196,1.0,0.7967703
ZNF415,0.43728116,0.7305585,1.0,0.8664477,0.8573511
ZNF653,0.4631485,0.33095178,1.0,0.78934526,0.94598925
DNMT3B,0.2591123,0.38066575,0.43113506,1.0,0.66874045
ZNF674,0.25431278,0.58151734,1.0,0.67123085,0.49452424
ZNF530,0.25110462,0.5382951,1.0,0.3112424,0.4295966
ZNF697,0.52898866,0.86158466,0.84736615,1.0,0.8914913
ZIK1,0.54604155,0.7850703,1.0,0.66050583,0.50648457
IRX1,0.23730561,1.0,0.077425525,0.3709415,0.11786106
HES7,0.21547136,0.26056337,0.34355572,0.18489824,1.0
ZNF2,0.62510836,0.7816959,1.0,0.6911724,0.75893426
IRX2,0.108381115,1.0,0.026010556,0.24485305,0.08897153
MBD1,0.49947387,0.7678947,1.0,0.5768833,0.87036717
TFDP2,0.9865165,0.46641234,1.0,0.32512558,0.6067245
PTF1A,0.15523641,0.14420536,0.13407053,0.20203514,1.0
VSX1,0.10526102,0.2632571,1.0,0.032617573,0.033076543
ARID5B,0.42103052,0.43158358,0.35176536,1.0,0.93202156
BACH1,0.52749455,0.6203686,1.0,0.6960967,0.79789126
NEUROD1,1.0,0.03248043,0.4654758,0.012072983,0.2020073
HOXC6,1.0,0.0,0.8636539,0.0,0.0
ZNF784,0.47099847,0.93956655,1.0,0.6446117,0.62901497
PAX4,0.0,0.20684487,1.0,0.0,0.0
HOXB9,0.0,0.0,0.0,0.0,1.0
LBX1,0.04281183,0.40789372,0.18487303,0.026532482,1.0
HOXA4,0.0113775935,1.0,0.0098263025,0.007051223,0.025026552
ZNF878,0.0,0.0,0.34839,1.0,0.12675892
ZNF521,0.78980726,1.0,0.07641975,0.19182622,0.28868514
ZNF33B,0.33941516,0.5189136,0.9589451,0.6530676,1.0
ZNF829,0.39754453,0.51244575,0.6833157,1.0,0.82423913
HES3,0.0,0.0,0.0,1.0,0.0
ZNF555,0.34059379,0.67841595,0.98541975,1.0,0.67292595
ZNF425,0.5326208,0.6177767,1.0,0.6649636,0.45844093
ZNF77,0.70231533,0.91554296,1.0,0.91168797,0.8648704
HOXC5,0.0,1.0,0.0,0.0,0.0
KLF7,1.0,0.81048334,0.44277322,0.13217907,0.30029133
TLX3,1.0,0.12599462,0.019579057,0.026538262,0.07915203
RFX7,1.0,0.6306079,0.85582864,0.85514206,0.69981295
PAX6,1.0,0.8406763,0.17174207,0.026398659,0.021794522
PRDM8,1.0,0.86834955,0.6513728,0.072441414,0.115134306
ZNF423,1.0,0.40215772,0.6468863,0.38532013,0.5088763
ZNF804A,1.0,0.86548746,0.96883786,0.12972593,0.6610851
MYCN,1.0,0.5981925,0.642365,0.15300794,0.24838793
INSM2,1.0,0.13636823,0.16481945,0.056770667,0.05277205
MLLT10,1.0,0.36448866,0.7964768,0.45137137,0.38856906
SP5,1.0,0.10519044,0.0043840297,0.21769774,0.05550928
ZIC1,1.0,0.4809036,0.012466461,0.038621493,0.104658134
TBX5,0.699722,1.0,0.16115136,0.11564006,0.13192567
KAT6B,1.0,0.70748633,0.86614954,0.8154475,0.54194057
ZXDC,0.9215167,0.70861757,1.0,0.4281929,0.3880425
ZNF704,0.9799457,0.51859814,1.0,0.55703515,0.3442726
SMARCC1,0.8569547,0.69331825,1.0,0.7736853,0.50780284
HOXB4,0.0,1.0,0.0,0.009530773,0.0048324424
AFF3,0.7145919,1.0,0.7843151,0.35009035,0.5953455
PBX4,1.0,0.91927713,0.2689314,0.05888694,0.14604591
OLIG3,0.07031444,1.0,0.015584893,0.017353723,0.10226342
ATOH1,0.6453793,1.0,0.0074760946,0.002384331,0.027805643
HOXB2,0.04974637,1.0,0.015828712,0.01298111,0.021391131
HOXA2,0.05130705,1.0,0.0061119357,0.0010964607,0.025573459
ZEB1,0.95920527,1.0,0.32486847,0.28026378,0.12364068
DACH1,1.0,0.98121023,0.13739268,0.10658767,0.28579262
NFIB,0.71873087,1.0,0.8281716,0.03954319,0.10458295
SCRT2,0.13704683,1.0,0.8298799,0.4601012,0.44122875
TCF12,0.74364895,1.0,0.8676607,0.50289977,0.40204126
POU4F2,0.021103773,1.0,0.0068348837,0.025340542,0.07999264
PROX1,0.14524707,1.0,0.093584605,0.16731612,0.087878
TBX22,0.0,1.0,0.0,0.0,0.0
MLLT11,0.3114336,1.0,0.5628279,0.3167441,0.84777135
HOXB13,0.0,1.0,0.0,0.0,0.43975228
